Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Cuando Tú Vas,Camins,Lágrimas desordenadas,Pasado Pisado,6 DE FEBRERO,Que La Detengan,Uptown Funk,Ferran Adrià,Todos los días sale el sol,Si Antes Te Hubiera Conocido,Beggin',Samba do Brasil
Wrecking Ball,Entre Poetas y Presos,Jenifer,Lágrimas desordenadas,Besos,Girls Just Want to Have Fun,Por la Raja de Tu Falda,La Bilirrubina,Em bategues,Vaya Liada,"Hey, Soul Sister",Aixeca la mà
Coti x Coti,Suavemente,L'ona,Aixeca la mà,Grup de Pop,La flaca,Mi Estrella Blanca,Bad Romance,Si Antes Te Hubiera Conocido,Die Young,Me Rehúso,Besos
Que Chévere,Boig Per Tu,Ay Mamá,Cómo Te Atreves,Dos Hombres Y Un Destino,Mamma Mia,Highway to Hell,Pasado Pisado,En Peu de Guerra,Jenifer,"Lo Que Pasó, Pasó",Coti x Coti
I Want It That Way,Por la Raja de Tu Falda,Alors on danse,"Lo Que Pasó, Pasó",Citant Mercé Rodoreda,Mamipuladora,Bon dia,Havana,Fiesta Pagana,Aixeca la mà,A quién le importa,Matchday (Ale Ale Ale)
Boig Per Tu,Cuando Tú Vas,NUEVAYoL,More Than Friends,Bon dia,Bicicletes,Millor del que pensava,Don't Stop Me Now,Suavemente,I Want It That Way,This Is Me,Pull Up
The Nights,Fiesta Pagana,15 Dies,TOCA,Todos los días sale el sol,Cómo Te Atreves,La_Original.mp3,YMCA,What Makes You Beautiful,El Fin del Mundo,Hips Don't Lie,Millor del que pensava
Malafici,The Lazy Song,Les Teves Pigues,Princesa de mi cuento,Cuando Tú Vas,La_Original.mp3,Hips Don't Lie,Cuando Brille el Sol,Em bategues,La Vida Es Un Carnaval,Una Lluna a L'Aigua,Grup de Pop
Beggin',El Fin del Mundo,Todos los días sale el sol,La Bilirrubina,Millor del que pensava,Alors on danse,Te Pintaron Pajaritos,La Revolución Sexual,Devuélveme a mi chica,Princesa de mi cuento,I Want It That Way,Rosas
Supermercat,"Amics, Tiets i Coneguts",The Nights,Que La Detengan,Cómo Te Atreves,LA GAVINA (MAMBO REMIX),A quién le importa,Barbie Girl,Cuando Brille el Sol,Gat rumberu,La flaca,Todos los días sale el sol
2000,Supermercat,I Want It That Way,La flaca,I Gotta Feeling,"Marta, Sebas, Guille y los demás",habibi,Besos,You're The One That I Want,Pull Up,Wrecking Ball,Mon Cheri Go Home
Mi Estrella Blanca,Breaking Free,Ay Mamá,"Hey, Soul Sister",Beggin',15 Dies,Lagrimas De Amor,Entre Poetas y Presos,El Fin del Mundo,You're The One That I Want,Mamipuladora,Te Pintaron Pajaritos
2000,Física o quí­mica,Boig Per Tu,Barbie Girl,Rosas,T'he Trobat a Faltar,6 DE FEBRERO,Mamipuladora,AURORA,The Nights,Pasado Pisado,Les Teves Pigues
L'ona,You're The One That I Want,TOCA,Supermercat,JA DORMIRÉ,I Gotta Feeling,Enamorado de la moda juvenil,Que Chévere,JUBILAR-ME,La Vida Es Un Carnaval,Devuélveme a mi chica,Malafici
Cómo Te Atreves,Bailando por Ahi,Gat rumberu,En Peu de Guerra,Paquito El Chocolatero,Riptide,2000,Maquillaje,Mi Estrella Blanca,6 DE FEBRERO,Te he echado de menos,Ferran Adrià
What Makes You Beautiful,LA GAVINA (MAMBO REMIX),Enamorado de la moda juvenil,Don't Stop The Music,Que La Detengan,Rosas,T'he Trobat a Faltar,Física o quí­mica,Te Pintaron Pajaritos,Bad Romance,Cómo Te Atreves,"Hey, Soul Sister"
Al mar!,Matchday (Ale Ale Ale),Tokyo,Rosas,Mamma Mia,Des del Dia 1,"Marta, Sebas, Guille y los demás",Malafici,Paquito El Chocolatero,Citant Mercé Rodoreda,Cómo Te Atreves,En Peu de Guerra
Si Antes Te Hubiera Conocido,"Marta, Sebas, Guille y los demás",6 DE FEBRERO,You're The One That I Want,Des del Dia 1,Gat rumberu,La Revolución Sexual,En Peu de Guerra,Devuélveme a mi chica,15 Dies,What Makes You Beautiful,The Nights
Hay Que Venir Al Sur,Boig Per Tu,"Amics, Tiets i Coneguts",Grup de Pop,The Nights,El Fin del Mundo,Princesa de mi cuento,Jenifer,Mamipuladora,Entre Poetas y Presos,Mamma Mia,Carolina
JUBILAR-ME,Princesa de mi cuento,Mon Cheri Go Home,Mamipuladora,Des del Dia 1,Breaking Free,Hips Don't Lie,Tobogan,I Gotta Feeling,Que La Detengan,La_Original.mp3,En Peu de Guerra
El Fin del Mundo,I Gotta Feeling,Supermercat,Riptide,Bailando por Ahi,Don't Stop Me Now,The Nights,Die Young,Matchday (Ale Ale Ale),Breaking Free,En Peu de Guerra,Sweet Caroline
Devuélveme a mi chica,Havana,Breaking Free,Me Rehúso,Te he echado de menos,Dos Hombres Y Un Destino,Que Chévere,Si Antes Te Hubiera Conocido,Pasado Pisado,Vaya Liada,Bon dia,L'ona
"Marta, Sebas, Guille y los demás",LA GAVINA (MAMBO REMIX),TOCA,La Vida Es Un Carnaval,Riptide,Lágrimas desordenadas,Bicicletes,I Gotta Feeling,Hips Don't Lie,Te he echado de menos,Camins,Carolina
Carolina,T'he Trobat a Faltar,I Gotta Feeling,"Hey, Soul Sister",Princesa de mi cuento,Em bategues,Mi Estrella Blanca,Aixeca la mà,What Makes You Beautiful,Coti x Coti,YMCA,Dos Hombres Y Un Destino
Gat rumberu,Millor del que pensava,Uptown Funk,No Puedo Vivir Sin Ti,Don't Stop The Music,Girls Just Want to Have Fun,Barbie Girl,Lágrimas desordenadas,La_Original.mp3,Ay Mamá,DROGA,Hay Que Venir Al Sur
Cuando Brille el Sol,YMCA,La Vida Es Un Carnaval,Citant Mercé Rodoreda,Matchday (Ale Ale Ale),Highway to Hell,What Makes You Beautiful,Libertad,The Ketchup Song (Aserejé),Fiesta Pagana,Don't Stop Me Now,Entre Poetas y Presos
Tobogan,La Bilirrubina,Que Chévere,Havana,Girls Just Want to Have Fun,Carolina,DROGA,Crazy In Love,Highway to Hell,Todos los días sale el sol,Gat rumberu,Des del Dia 1
Beggin',Mamma Mia,Die Young,Barbie Girl,Breaking Free,Pull Up,Una Lluna a L'Aigua,"Lo Que Pasó, Pasó",Hay Que Venir Al Sur,NUEVAYoL,Aixeca la mà,La_Original.mp3
Breaking Free,Alors on danse,Suavemente,Lágrimas desordenadas,Sweet Caroline,Paquito El Chocolatero,Lagrimas De Amor,JUBILAR-ME,L'ona,I Gotta Feeling,Gat rumberu,Les Teves Pigues
Barbie Girl,Bicicletes,Die Young,15 Dies,Alors on danse,Rosas,Vaya Liada,La Vida Es Un Carnaval,La Revolución Sexual,Hay Que Venir Al Sur,I Gotta Feeling,Jenifer
Des del Dia 1,Todos los días sale el sol,Lágrimas desordenadas,Alors on danse,Devuélveme a mi chica,Supermercat,Citant Mercé Rodoreda,Malafici,LA GAVINA (MAMBO REMIX),La_Original.mp3,Carolina,Cuando Tú Vas
Bicicletes,Fiesta Pagana,Havana,Ay Mamá,Barbie Girl,Devuélveme a mi chica,"Amics, Tiets i Coneguts","Hey, Soul Sister",JA DORMIRÉ,Coti x Coti,Carolina,Rosas
Don't Stop Me Now,Princesa de mi cuento,La Bilirrubina,Boig Per Tu,La Vida Es Un Carnaval,YMCA,2000,Lagrimas De Amor,Física o quí­mica,Pull Up,Mon Cheri Go Home,A quién le importa
La Vida Es Un Carnaval,Bon dia,Jenifer,YMCA,Libertad,Gat rumberu,Vaya Liada,Paquito El Chocolatero,Des del Dia 1,En Peu de Guerra,Boig Per Tu,Que La Detengan
Devuélveme a mi chica,Si Antes Te Hubiera Conocido,Ay Mamá,Jenifer,Gat rumberu,Em bategues,Física o quí­mica,NUEVAYoL,Ferran Adrià,La_Original.mp3,Samba do Brasil,Malafici
Te Pintaron Pajaritos,En Peu de Guerra,Si Antes Te Hubiera Conocido,Cómo Te Atreves,A quién le importa,Lagrimas De Amor,Vaya Liada,Bad Romance,Ferran Adrià,AURORA,Boig Per Tu,The Nights
Alors on danse,Barbie Girl,Besos,Fiesta Pagana,Boig Per Tu,YMCA,Havana,Ferran Adrià,Camins,Una Lluna a L'Aigua,Suavemente,Wrecking Ball
Jenifer,No Puedo Vivir Sin Ti,En Peu de Guerra,JA DORMIRÉ,Wrecking Ball,Havana,Todos los días sale el sol,Entre Poetas y Presos,Princesa de mi cuento,Suavemente,habibi,Highway to Hell
