Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Lloverá y Yo Veré,La Faràndula,Amparito Roca,Sarandonga,Take on Me,Just Dance,Hui la liem,Plou,Cuando zarpa el amor,Besos En Guerra,Pa amb Oli I Sal,Single Ladies (Put a Ring on It)
La Morocha,Chiquilla,Wannabe,Atrévete-Te-Te,Just Dance,ACTITUD,Torno en Mi,Tenía Tanto Que Darte,No importa que llueva,Soldadito marinero,Olívia,Rock & Roll
APT.,El ataque de las chicas cocodrilo,Call Me Maybe,Tití Me Preguntó,MAMA HO SENTO,Atrévete-Te-Te,Un Plan B,MOLTA TRALLA,Esbarzers - Remix,Payphone,Single Ladies (Put a Ring on It),L'Empordà
La Morocha,APT.,Barras Warras,Wannabe,Sarandonga,Take on Me,Baby,Yo Quiero Bailar,No Sigue Modas,We Are Young,Nochentera,No Rompas Mi Corazón
Lloverá y Yo Veré,Call Me Maybe,Amparito Roca,Baby,Dancing Queen,Waterloo,Caminando por la vida,Chica Ye Ye,BAILE INoLVIDABLE,Si te vas...,TAS LOKO,Nochentera
L'Empordà,SOLUCIONS i NO PROBLEMES,La Camisa Negra,Caminando por la vida,Chica Ye Ye,Toxic,Potra Salvaje - Hard Remix,Yo Quiero Bailar,Tot el que ens queda - Remix,Olívia,Temerario,L'orquestra del Titànic
El Mambo,La Tabarra,Umbrella,Atrévete-Te-Te,Dancing Queen,American Idiot,Rumadai,Salta!!!,Caminando por la vida,Si te vas...,Olívia,Girlband
El Mambo,Princesas,ACTITUD,Espresso Macchiato,Toxic,Tenía Tanto Que Darte,We Will Rock You,Payphone,Single Ladies (Put a Ring on It),PLAYA DEL INGLÉS,Rock & Roll,No Rompas Mi Corazón
La Despedida,La Camisa Negra,Me Colé en una Fiesta,Atrévete-Te-Te,Hui la liem,Colgando en tus manos,Umbrella,Un Plan B,Rumadai,Eva Maria,We Are Young,Podría Ser Peor
Everybody (Backstreet's Back),Per la borda,La Tabarra,American Idiot,Colgando en tus manos,Take on Me,Espresso Macchiato,Rumadai,Jo Mai Mai,Esa Diva,MOLTA TRALLA,L'orquestra del Titànic
La Morocha,Besos En Guerra,La Tabarra,Princesas,Salta!!!,Potra Salvaje - Hard Remix,Jo Mai Mai,Ni Una Sola Palabra,Get Lucky,MOLTA TRALLA,L'Empordà,No Rompas Mi Corazón
Everybody (Backstreet's Back),Call Me Maybe,Baby,Eva Maria,Umbrella,Sense Tu,Plou,Danza Kuduro,Tintin,Podría Ser Peor,Pedro,No Rompas Mi Corazón
La Morocha,A la Sombra de la Sierra,Everybody (Backstreet's Back),Per la borda,La Tabarra,Eva Maria,Waterloo,Chica Ye Ye,Yo Quiero Bailar,La Mujer del Pelotero,Moves Like Jagger,La meva sort
SOLUCIONS i NO PROBLEMES,El ataque de las chicas cocodrilo,Barras Warras,La Despedida,Eva Maria,Caminando por la vida,Toxic,Bailoteo,Single Ladies (Put a Ring on It),Seguirem Ballant,Rock & Roll,Nochentera
El Mambo,Chiquilla,Tití Me Preguntó,Temerario,Jean-Luc,American Idiot,Princesas,Soldadito marinero,Purpurina,TAS LOKO,The Final Countdown,L'orquestra del Titànic
Chiquilla,Sarandonga,Atrévete-Te-Te,Me Colé en una Fiesta,Sense Tu,Danza Kuduro,Toxic,Potra Salvaje - Hard Remix,L'últim segon,Tintin,Moves Like Jagger,Rasputin
Per la borda,Chiquilla,Just Dance,Salta!!!,It's My Life,BAILE INoLVIDABLE,Tot el que ens queda - Remix,Moves Like Jagger,Rasputin,Girlband,Never Gonna Give You Up,La meva sort
Lloverá y Yo Veré,A la Sombra de la Sierra,SOLUCIONS i NO PROBLEMES,Wannabe,American Idiot,Torno en Mi,La Mujer del Pelotero,Bailoteo,Soldadito marinero,Bona Vida,MOLTA TRALLA,Temerario
Besos En Guerra,Barras Warras,La Tabarra,MAMA HO SENTO,La Camisa Negra,Dancing Queen,Princesas,Cap. 2: Havia de Passar,Tintin,Si te vas...,Rasputin,Pa amb Oli I Sal
Bohemian Rhapsody,Mal De Amores,Barras Warras,MAMA HO SENTO,Colgando en tus manos,Take on Me,Princesas,Just Dance,Tenía Tanto Que Darte,No importa que llueva,MOLTA TRALLA,L'Empordà
Bohemian Rhapsody,SOLUCIONS i NO PROBLEMES,Call Me Maybe,Tití Me Preguntó,Espresso Macchiato,Rumadai,Potra Salvaje - Hard Remix,Músic de Carrer,Torno en Mi,Bailoteo,Esbarzers - Remix,Podría Ser Peor
Mal De Amores,El Mambo,La Despedida,American Idiot,Just Dance,Hui la liem,It's My Life,Cap. 2: Havia de Passar,Si te vas...,La Mujer del Pelotero,Pedro,No Rompas Mi Corazón
Jean-Luc,Umbrella,Un Plan B,In The Night,Just Dance,Rumadai,Músic de Carrer,Esa Diva,Esbarzers - Remix,TAS LOKO,Single Ladies (Put a Ring on It),Seguirem Ballant
Bohemian Rhapsody,La Faràndula,MAMA HO SENTO,Jean-Luc,Un Plan B,Just Dance,Lovumba,Plou,L'últim segon,Yo Quiero Bailar,Purpurina,Payphone
El ataque de las chicas cocodrilo,Call Me Maybe,Umbrella,In The Night,Take on Me,20 de abril,Plou,ACTITUD,Músic de Carrer,Besos En Guerra,Get Lucky,Rock & Roll
Lloverá y Yo Veré,Everybody (Backstreet's Back),MAMA HO SENTO,Wannabe,Me Colé en una Fiesta,Seguirem Ballant,La Mujer del Pelotero,Rasputin,Payphone,The Final Countdown,Never Gonna Give You Up,Rock & Roll
A la Sombra de la Sierra,APT.,Lloverá y Yo Veré,Mari Carmen,Mal De Amores,Temerario,Party In The U.S.A.,L'últim segon,Ni Una Sola Palabra,Single Ladies (Put a Ring on It),Seguirem Ballant,Pedro
SOLUCIONS i NO PROBLEMES,Barras Warras,La Tabarra,Jean-Luc,L'últim segon,La Mujer del Pelotero,Moves Like Jagger,Soldadito marinero,We Will Rock You,Get Lucky,Girlband,L'Empordà
A la Sombra de la Sierra,El Mambo,Umbrella,Un Plan B,Wannabe,Danza Kuduro,Torno en Mi,Purpurina,Get Lucky,Payphone,L'orquestra del Titànic,Rock & Roll
Amparito Roca,Barras Warras,Sarandonga,Eva Maria,Princesas,ACTITUD,Lovumba,Sense Tu,Torno en Mi,La Mujer del Pelotero,Get Lucky,Never Gonna Give You Up
Mal De Amores,Per la borda,L'orquestra del Titànic,Baby,Eva Maria,Benvolgut,Sarandonga,Tot el que ens queda - Remix,Get Lucky,Podría Ser Peor,L'Empordà,Rock & Roll
La Faràndula,Tití Me Preguntó,American Idiot,Eva Maria,20 de abril,Danza Kuduro,Si te vas...,Yo Quiero Bailar,Purpurina,Besos En Guerra,La meva sort,No Rompas Mi Corazón
Mal De Amores,APT.,Colgando en tus manos,Un Plan B,Princesas,The Final Countdown,Plou,Caminando por la vida,Tot el que ens queda - Remix,Yo Quiero Bailar,Nochentera,PLAYA DEL INGLÉS
Bohemian Rhapsody,Everybody (Backstreet's Back),PLAYA DEL INGLÉS,La Tabarra,Wannabe,Sarandonga,Atrévete-Te-Te,Princesas,It's My Life,Toxic,Esa Diva,Temerario
Amparito Roca,Tití Me Preguntó,Eva Maria,Just Dance,Caminando por la vida,BAILE INoLVIDABLE,Tenía Tanto Que Darte,Soldadito marinero,Besos En Guerra,MOLTA TRALLA,PLAYA DEL INGLÉS,Get Lucky
Everybody (Backstreet's Back),Call Me Maybe,La Faràndula,El ataque de las chicas cocodrilo,Colgando en tus manos,Eva Maria,Benvolgut,Waterloo,Zapatillas,Wannabe,Cap. 2: Havia de Passar,The Final Countdown
Mal De Amores,Everybody (Backstreet's Back),La Despedida,Un Plan B,20 de abril,Salta!!!,Caminando por la vida,Esbarzers - Remix,Besos En Guerra,MOLTA TRALLA,Never Gonna Give You Up,We Are Young
Lloverá y Yo Veré,Temerario,Barras Warras,MAMA HO SENTO,Umbrella,It's My Life,Chica Ye Ye,Purpurina,Olívia,PLAYA DEL INGLÉS,Rock & Roll,We Are Young
La Morocha,Party In The U.S.A.,Sarandonga,Waterloo,Zapatillas,Plou,Potra Salvaje - Hard Remix,Si te vas...,Yo Quiero Bailar,Esa Diva,Purpurina,Temerario
